world:associationOfGears	schema:Faction%&%schema:foundingDate	"932-11-23"^^xsm:date
world:associationOfGears	schema:Faction%&%schema:name	"Association of Gears"^^xsd:string
world:associationOfGears	a	schema:Faction
world:churchOfAvus	schema:Religion%&%schema:hasGod	"Brobo"^^xsd:String
world:churchOfAvus	schema:Religion%&%schema:proponents	"70000"^^xsd:int
world:churchOfAvus	schema:Religion%&%schema:name	"Kirche des Avus"@de
world:churchOfAvus	schema:Religion%&%schema:name	"churchOfAvus"@en
world:churchOfAvus	a	schema:Religion
world:TurnipsHome	null%&%schema:streetAddress	"Handwerkwerweg 31"@de
world:TurnipsHome	null%&%schema:streetAddress	"31 Trademann's Valley"@en
world:TurnipsHome	null%&%schema:addressCity	world:Targ
world:TurnipsHome	null%&%schema:addressRegion	world:TimberwoodMountains
world:TurnipsHome	null%&%schema:addressCountry	world:Avurien
world:theHawks	schema:Faction%&%schema:foundingDate	"423-01-26"^^xsm:date
world:theHawks	schema:Faction%&%schema:name	"Die Falken"@de
world:theHawks	schema:Faction%&%schema:name	"The Hawks"@en
world:theHawks	a	schema:Faction
world:Twighome	schema:Place%&%schema:streetAddress	"In den Gärten 7"@de
world:Twighome	schema:Place%&%schema:streetAddress	"7, the gardens "@en
world:Twighome	schema:Place%&%schema:addressCity	world:ImperialCity
world:Twighome	schema:Place%&%schema:addressRegion	world:TheOldEmpireRegion
world:Twighome	schema:Place%&%schema:addressCountry	world:TheOldEmpire
world:Twighome	a	schema:Place
world:TheOldEmpire	schema:Country%&%schema:Population	"300000"^^xsd:int
world:TheOldEmpire	schema:Country%&%schema:foundingYear	"-1700"^^xsd:int
world:TheOldEmpire	schema:Country%&%schema:nationalAnthem	"Through blood and stone"^^xsd:string
world:TheOldEmpire	schema:Country%&%schema:localLanguage	"gvelish"^^xsd:string
world:TheOldEmpire	schema:Country%&%schema:name	"The old empire"^^xsd:string
world:TheOldEmpire	a	schema:Country
world:Welf	schema:City%&%schema:architecturalStyle	"temper"^^xsd:string
world:Welf	schema:City%&%schema:heraldicAnimal	"butterfly"^^xsd:string
